batch,train_loss,learning_rate,grad_norm
142,3.0214059352874756,0.02,0.4301586450799532
143,3.005511522293091,0.02,0.5036898251811703
144,3.009254217147827,0.02,0.4104359495217635
145,3.002532958984375,0.02,0.4869162918183429
146,3.022552967071533,0.02,0.47809601995721956
147,3.0193939208984375,0.02,0.3901637487419407
148,2.998382091522217,0.02,0.3811840324033033
149,2.9995369911193848,0.02,0.4594884330764912
150,3.000279664993286,0.02,0.4655489282779438
151,2.986114025115967,0.02,0.48853650814049504
152,2.949549674987793,0.02,0.5212381261073312
153,3.007488250732422,0.02,0.43075729442197813
154,2.9626054763793945,0.02,0.4478069108947904
155,3.001120090484619,0.02,0.44276673249091925
156,2.9770846366882324,0.02,0.44574324651740727
157,2.9900569915771484,0.02,0.4282256821215208
158,2.9511032104492188,0.02,0.539962808832999
159,2.9560015201568604,0.02,0.4743127437021169
160,2.9556899070739746,0.02,0.403898948126096
161,2.9434306621551514,0.02,0.4421277588501433
162,2.9324636459350586,0.02,0.5230429526796668
163,2.9239983558654785,0.02,0.5502101823521275
164,2.9371509552001953,0.02,0.4234077357012457
165,2.973891019821167,0.02,0.42760246733350704
166,2.972182035446167,0.02,0.47210229316122637
167,2.94049334526062,0.02,0.46216227726115805
168,2.970054864883423,0.02,0.5218654843544418
169,2.944444179534912,0.02,0.526643858944252
170,2.98508358001709,0.02,0.4860467577684024
171,2.924870729446411,0.02,0.4678528261783788
172,2.9781455993652344,0.02,0.5530066393823492
173,2.9433865547180176,0.02,0.45663097874723296
174,2.9638512134552,0.02,0.49678969785726046
175,2.954115152359009,0.02,0.5332196676596803
176,2.9196016788482666,0.02,0.48863567286395493
177,2.9513063430786133,0.02,0.5418982336816657
178,2.8996548652648926,0.02,0.5297195379266647
179,2.8856303691864014,0.02,0.4426211341659762
180,2.919196605682373,0.02,0.5551586885486302
181,2.9361138343811035,0.02,0.5243038593372745
182,2.9246060848236084,0.02,0.4986124318348081
183,2.899613618850708,0.02,0.4874177677244524
184,2.876044988632202,0.02,0.4760075533493167
185,2.9176340103149414,0.02,0.48777912378143734
186,2.8962745666503906,0.02,0.476600765768231
187,2.918976306915283,0.02,0.5132295478818626
188,2.910233497619629,0.02,0.5428590054128267
189,2.934330940246582,0.02,0.5179760160547227
190,2.9337997436523438,0.02,0.5299083030764334
191,2.9077160358428955,0.02,0.475571535235335
192,2.8501672744750977,0.02,0.4948589936318408
193,2.9093825817108154,0.02,0.5161455812654767
194,2.9130942821502686,0.02,0.5022261958257
195,2.8790838718414307,0.02,0.49929715737730646
196,2.904542922973633,0.02,0.5225232570156016
197,2.85729718208313,0.02,0.5207715662967594
198,2.8842732906341553,0.02,0.5760560760484346
199,2.889212131500244,0.02,0.5760041737813191
200,2.906432628631592,0.02,0.5868812076520331
201,2.8755111694335938,0.02,0.49884161530005566
202,2.9122753143310547,0.02,0.5764102119113458
203,2.8768539428710938,0.02,0.5409633164412142
204,2.8488898277282715,0.02,0.5829175487712542
205,2.903738260269165,0.02,0.5560720957611938
206,2.865570306777954,0.02,0.5086537451804042
207,2.873743772506714,0.02,0.5326422994032862
208,2.843520164489746,0.02,0.5362032172268153
209,2.86348295211792,0.02,0.5136929432650934
210,2.8593826293945312,0.02,0.6071979813906955
211,2.8748092651367188,0.02,0.5097639957455965
212,2.864466667175293,0.02,0.5911163412464108
213,2.8661580085754395,0.02,0.5784701779920742
214,2.8344054222106934,0.02,0.5746309817746577
215,2.8691861629486084,0.02,0.5514206735813286
216,2.906435966491699,0.02,0.6033146118969758
